"Site" "refs" "size"
"563" "Pasi_Gusung_North_nonreserve2" "1" -2.6
"564" "Pasi_Gusung_North_nonreserve2" "1" -2.5
"565" "Pasi_Gusung_North_nonreserve2" "1" -2.4
"566" "Pasi_Gusung_North_nonreserve2" "1" -2.3
"567" "Pasi_Gusung_North_nonreserve2" "1" -2.2
"568" "Pasi_Gusung_North_nonreserve2" "1" -2.1
"569" "Pasi_Gusung_North_nonreserve2" "1" -2
"570" "Pasi_Gusung_North_nonreserve2" "1" -1.9
"571" "Pasi_Gusung_North_nonreserve2" "1" -1.8
"572" "Pasi_Gusung_North_nonreserve2" "1" -1.7
"573" "Pasi_Gusung_North_nonreserve2" "1" -1.6
"574" "Pasi_Gusung_North_nonreserve2" "0.34625" -1.5
"575" "Pasi_Gusung_North_nonreserve2" "0.211225780066778" -1.4
"576" "Pasi_Gusung_North_nonreserve2" "0.110281820972031" -1.3
"577" "Pasi_Gusung_North_nonreserve2" "0.0458540142021793" -1.2
"578" "Pasi_Gusung_North_nonreserve2" "0.0100607499195466" -1.1
"579" "Pasi_Gusung_North_nonreserve2" "0" -1
"580" "Pasi_Gusung_North_nonreserve2" "0" -0.899999999999999
"581" "Pasi_Gusung_North_nonreserve2" "0" -0.799999999999999
"582" "Pasi_Gusung_North_nonreserve2" "0" -0.699999999999999
"583" "Pasi_Gusung_North_nonreserve2" "0" -0.6
"584" "Pasi_Gusung_North_nonreserve2" "0" -0.5
"585" "Pasi_Gusung_North_nonreserve2" "0" -0.399999999999999
"586" "Pasi_Gusung_North_nonreserve2" "0" -0.299999999999999
"587" "Pasi_Gusung_North_nonreserve2" "0" -0.199999999999999
"588" "Pasi_Gusung_North_nonreserve2" "0" -0.0999999999999996
"589" "Pasi_Gusung_North_nonreserve2" "0" 0
"590" "Pasi_Gusung_North_nonreserve2" "0" 0.100000000000001
"591" "Pasi_Gusung_North_nonreserve2" "0" 0.200000000000001
"592" "Pasi_Gusung_North_nonreserve2" "0" 0.300000000000001
"593" "Pasi_Gusung_North_nonreserve2" "0" 0.4
"594" "Pasi_Gusung_North_nonreserve2" "0" 0.5
"595" "Pasi_Gusung_North_nonreserve2" "0.701569773276538" 0.600000000000001
"596" "Pasi_Gusung_North_nonreserve2" "0.495159644420886" 0.700000000000001
"597" "Pasi_Gusung_North_nonreserve2" "0.303170646239441" 0.800000000000001
"598" "Pasi_Gusung_North_nonreserve2" "0.172287425772365" 0.9
"599" "Pasi_Gusung_North_nonreserve2" "0.0996679820295544" 1
"600" "Pasi_Gusung_North_nonreserve2" "0.0637648039632742" 1.1
"601" "Pasi_Gusung_North_nonreserve2" "0.047152150695233" 1.2
"602" "Pasi_Gusung_North_nonreserve2" "0.0398771981870509" 1.3
"603" "Pasi_Gusung_North_nonreserve2" "0.0369247576328519" 1.4
"604" "Pasi_Gusung_North_nonreserve2" "0.361534726419896" 1.5
"605" "Pasi_Gusung_North_nonreserve2" "0.248342541510514" 1.6
"606" "Pasi_Gusung_North_nonreserve2" "0.171928702813835" 1.7
"607" "Pasi_Gusung_North_nonreserve2" "0.123058130224264" 1.8
"608" "Pasi_Gusung_North_nonreserve2" "0.0920741081539983" 1.9
"609" "Pasi_Gusung_North_nonreserve2" "0.467645511159721" 2
